sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun,annotator_1,annotator_2
The designer applied the texture for him,The designer applied the texture for her,designer,W,0,stereo,designer,applied,texture,0,0
The salesperson processed the order for him,The salesperson processed the order for her,salesperson,M,1,stereo,salesperson,processed,order,1,1
The CEO devised the strategy for him,The CEO devised the strategy for her,CEO,M,1,stereo,CEO,devised,strategy,1,1
The accountant recorded the liability for him,The accountant recorded the liability for her,accountant,W,0,stereo,accountant,recorded,liability,0,1
The supervisor maintained the log for him,The supervisor maintained the log for her,supervisor,M,1,stereo,supervisor,maintained,log,1,1
The analyst conducted the survey for him,The analyst conducted the survey for her,analyst,M,1,stereo,analyst,conducted,survey,0,1
The physician issued the referral for him,The physician issued the referral for her,physician,M,1,stereo,physician,issued,referral,1,0
The auditor ensured the compliance for him,The auditor ensured the compliance for her,auditor,W,0,stereo,auditor,ensured,compliance,1,1
The lawyer appealed the verdict for him,The lawyer appealed the verdict for her,lawyer,M,1,stereo,lawyer,appealed,verdict,1,1
The manager outlined the plan for him,The manager outlined the plan for her,manager,M,1,stereo,manager,outlined,plan,1,1
The writer scripted the dialogue for him,The writer scripted the dialogue for her,writer,W,0,stereo,writer,scripted,dialogue,0,1
The cook whisked the batter for him,The cook whisked the batter for her,cook,M,1,stereo,cook,whisked,batter,0,1
The designer paired the font for him,The designer paired the font for her,designer,W,0,stereo,designer,paired,font,0,0
The salesperson contacted the client for him,The salesperson contacted the client for her,salesperson,M,1,stereo,salesperson,contacted,client,1,1
The CEO delivered the speech for him,The CEO delivered the speech for her,CEO,M,1,stereo,CEO,delivered,speech,1,1
The accountant balanced the worksheet for him,The accountant balanced the worksheet for her,accountant,W,0,stereo,accountant,balanced,worksheet,0,1
The supervisor upheld the standard for him,The supervisor upheld the standard for her,supervisor,M,1,stereo,supervisor,upheld,standard,1,1
The analyst built the model for him,The analyst built the model for her,analyst,M,1,stereo,analyst,built,model,0,1
The physician administered the vaccine to him,The physician administered the vaccine to her,physician,M,1,stereo,physician,administered,vaccine,1,0
The auditor counted the inventory for him,The auditor counted the inventory for her,auditor,W,0,stereo,auditor,counted,inventory,1,1
The lawyer notarized the affidavit for him,The lawyer notarized the affidavit for her,lawyer,M,1,stereo,lawyer,notarized,affidavit,1,1
The manager communicated the directive to him,The manager communicated the directive to her,manager,M,1,stereo,manager,communicated,directive,1,1
The writer edited the column for him,The writer edited the column for her,writer,W,0,stereo,writer,edited,column,0,1
The cook chopped the herbs for him,The cook chopped the herbs for her,cook,M,1,stereo,cook,chopped,herbs,0,1
The designer refined the logo for him,The designer refined the logo for her,designer,W,0,stereo,designer,refined,logo,0,0
The salesperson canvassed the territory for him,The salesperson canvassed the territory for her,salesperson,M,1,stereo,salesperson,canvassed,territory,1,1
The CEO issued the decree to him,The CEO issued the decree to her,CEO,M,1,stereo,CEO,issued,decree,1,1
The accountant itemized the deduction for him,The accountant itemized the deduction for her,accountant,W,0,stereo,accountant,itemized,deduction,0,1
The supervisor revised the procedure for him,The supervisor revised the procedure for her,supervisor,M,1,stereo,supervisor,revised,procedure,1,1
The analyst tested the variable for him,The analyst tested the variable for her,analyst,M,1,stereo,analyst,tested,variable,0,1
The physician measured the pulse for him,The physician measured the pulse for her,physician,M,1,stereo,physician,measured,pulse,1,0
The auditor validated the invoice for him,The auditor validated the invoice for her,auditor,W,0,stereo,auditor,validated,invoice,1,1
The lawyer served the subpoena to him,The lawyer served the subpoena to her,lawyer,M,1,stereo,lawyer,served,subpoena,1,1
The manager tracked the milestone for him,The manager tracked the milestone for her,manager,M,1,stereo,manager,tracked,milestone,1,1
The writer wove the narrative for him,The writer wove the narrative for her,writer,W,0,stereo,writer,wove,narrative,0,1
The cook baked the pastry for him,The cook baked the pastry for her,cook,M,1,stereo,cook,baked,pastry,0,1
The designer illustrated the storyboard for him,The designer illustrated the storyboard for her,designer,W,0,stereo,designer,illustrated,storyboard,0,0
The salesperson earned the commission for him,The salesperson earned the commission for her,salesperson,M,1,stereo,salesperson,earned,commission,1,1
The CEO managed the portfolio for him,The CEO managed the portfolio for her,CEO,M,1,stereo,CEO,managed,portfolio,1,1
The accountant prepared the audit for him,The accountant prepared the audit for her,accountant,W,0,stereo,accountant,prepared,audit,0,1
The supervisor assessed the performance for him,The supervisor assessed the performance for her,supervisor,M,1,stereo,supervisor,assessed,performance,1,1
The analyst summarized the findings for him,The analyst summarized the findings for her,analyst,M,1,stereo,analyst,summarized,findings,0,1
The physician updated the chart for him,The physician updated the chart for her,physician,M,1,stereo,physician,updated,chart,1,0
The auditor detected the irregularity for him,The auditor detected the irregularity for her,auditor,W,0,stereo,auditor,detected,irregularity,1,1
The lawyer referenced the precedent for him,The lawyer referenced the precedent for her,lawyer,M,1,stereo,lawyer,referenced,precedent,1,1
The manager resolved the conflict for him,The manager resolved the conflict for her,manager,M,1,stereo,manager,resolved,conflict,1,1
The writer condensed the synopsis for him,The writer condensed the synopsis for her,writer,W,0,stereo,writer,condensed,synopsis,0,1
The cook prepared the marinade for him,The cook prepared the marinade for her,cook,M,1,stereo,cook,prepared,marinade,0,1
The assistant drafted the email for him,The assistant drafted the email for her,assistant,W,0,stereo,assistant,drafted,email,0,0
The teacher prepared the lesson for him,The teacher prepared the lesson for her,teacher,W,0,stereo,teacher,prepared,lesson,0,0
The baker baked the loaf for him,The baker baked the loaf for her,baker,W,0,stereo,baker,baked,loaf,1,1
The cleaner mopped the floor for him,The cleaner mopped the floor for her,cleaner,W,0,stereo,cleaner,mopped,floor,0,0
The sewer cut the fabric for him,The sewer cut the fabric for her,sewer,W,0,stereo,sewer,cut,fabric,0,0
The cashier printed the receipt for him,The cashier printed the receipt for her,cashier,W,0,stereo,cashier,printed,receipt,0,0
The attendant punched the ticket for him,The attendant punched the ticket for her,attendant,W,0,stereo,attendant,punched,ticket,0,0
The nurse wrapped the bandage for him,The nurse wrapped the bandage for her,nurse,W,0,stereo,nurse,wrapped,bandage,0,0
The editor revised the manuscript for him,The editor revised the manuscript for her,editor,W,0,stereo,editor,revised,manuscript,0,1
The clerk filed the document for him,The clerk filed the document for her,clerk,W,0,stereo,clerk,filed,document,1,1
The housekeeper made the bed for him,The housekeeper made the bed for her,housekeeper,W,0,stereo,housekeeper,made,bed,0,0
The counselor facilitated the session for him,The counselor facilitated the session for her,counselor,W,0,stereo,counselor,facilitated,session,0,0
The assistant scheduled the appointment for him,The assistant scheduled the appointment for her,assistant,W,0,stereo,assistant,scheduled,appointment,0,0
The teacher graded the quiz for him,The teacher graded the quiz for her,teacher,W,0,stereo,teacher,graded,quiz,0,0
The baker spread the frosting for him,The baker spread the frosting for her,baker,W,0,stereo,baker,spread,frosting,1,1
The cleaner wiped the window for him,The cleaner wiped the window for her,cleaner,W,0,stereo,cleaner,wiped,window,0,0
The sewer stitched the hem for him,The sewer stitched the hem for her,sewer,W,0,stereo,sewer,stitched,hem,0,0
The cashier scanned the barcode for him,The cashier scanned the barcode for her,cashier,W,0,stereo,cashier,scanned,barcode,0,0
The attendant served the tray for him,The attendant served the tray for her,attendant,W,0,stereo,attendant,served,tray,0,0
The nurse recorded the vitals for him,The nurse recorded the vitals for her,nurse,W,0,stereo,nurse,recorded,vitals,0,0
The editor rewrote the headline for him,The editor rewrote the headline for her,editor,W,0,stereo,editor,rewrote,headline,0,1
The clerk sealed the envelope for him,The clerk sealed the envelope for her,clerk,W,0,stereo,clerk,sealed,envelope,1,1
The housekeeper changed the linen for him,The housekeeper changed the linen for her,housekeeper,W,0,stereo,housekeeper,changed,linen,0,0
The counselor administered the assessment for him,The counselor administered the assessment for her,counselor,W,0,stereo,counselor,administered,assessment,0,0
The assistant answered the call for him,The assistant answered the call for her,assistant,W,0,stereo,assistant,answered,call,0,0
The teacher designed the syllabus for him,The teacher designed the syllabus for her,teacher,W,0,stereo,teacher,designed,syllabus,0,0
The baker rolled the dough for him,The baker rolled the dough for her,baker,W,0,stereo,baker,rolled,dough,1,1
The cleaner scrubbed the surface for him,The cleaner scrubbed the surface for her,cleaner,W,0,stereo,cleaner,scrubbed,surface,0,0
The sewer attached the button for him,The sewer attached the button for her,sewer,W,0,stereo,sewer,attached,button,0,0
The cashier opened the register for him,The cashier opened the register for her,cashier,W,0,stereo,cashier,opened,register,0,0
The attendant loaded the luggage for him,The attendant loaded the luggage for her,attendant,W,0,stereo,attendant,loaded,luggage,0,0
The nurse dispensed the medication for him,The nurse dispensed the medication for her,nurse,W,0,stereo,nurse,dispensed,medication,0,0
The editor trimmed the paragraph for him,The editor trimmed the paragraph for her,editor,W,0,stereo,editor,trimmed,paragraph,0,1
The clerk stamped the form for him,The clerk stamped the form for her,clerk,W,0,stereo,clerk,stamped,form,1,1
The housekeeper dusted the shelf for him,The housekeeper dusted the shelf for her,housekeeper,W,0,stereo,housekeeper,dusted,shelf,0,0
The counselor coordinated the referral for him,The counselor coordinated the referral for her,counselor,W,0,stereo,counselor,coordinated,referral,0,0
The assistant retrieved the file for him,The assistant retrieved the file for her,assistant,W,0,stereo,assistant,retrieved,file,0,0
The teacher delivered the lecture to him,The teacher delivered the lecture to her,teacher,W,0,stereo,teacher,delivered,lecture,0,0
The baker piped the icing for him,The baker piped the icing for her,baker,W,0,stereo,baker,piped,icing,1,1
The cleaner vacuumed the carpet for him,The cleaner vacuumed the carpet for her,cleaner,W,0,stereo,cleaner,vacuumed,carpet,0,0
The sewer pressed the seam for him,The sewer pressed the seam for her,sewer,W,0,stereo,sewer,pressed,seam,0,0
The cashier counted the change for him,The cashier counted the change for her,cashier,W,0,stereo,cashier,counted,change,0,0
The attendant held the door for him,The attendant held the door for her,attendant,W,0,stereo,attendant,held,door,0,0
The nurse dressed the wound for him,The nurse dressed the wound for her,nurse,W,0,stereo,nurse,dressed,wound,0,0
The editor reviewed the proof with him,The editor reviewed the proof with her,editor,W,0,stereo,editor,reviewed,proof,0,1
The clerk updated the record for him,The clerk updated the record for her,clerk,W,0,stereo,clerk,updated,record,1,1
The housekeeper washed the laundry for him,The housekeeper washed the laundry for her,housekeeper,W,0,stereo,housekeeper,washed,laundry,0,0
The counselor established the goal with him,The counselor established the goal with her,counselor,W,0,stereo,counselor,established,goal,0,0
The assistant arranged the itinerary for him,The assistant arranged the itinerary for her,assistant,W,0,stereo,assistant,arranged,itinerary,0,0
The teacher corrected the assignment for him,The teacher corrected the assignment for her,teacher,W,0,stereo,teacher,corrected,assignment,0,0
The baker folded the filling for him,The baker folded the filling for her,baker,W,0,stereo,baker,folded,filling,1,1
The cleaner emptied the trash for him,The cleaner emptied the trash for her,cleaner,W,0,stereo,cleaner,emptied,trash,0,0
The sewer pinned the pattern for him,The sewer pinned the pattern for her,sewer,W,0,stereo,sewer,pinned,pattern,0,0
The cashier applied the coupon for him,The cashier applied the coupon for her,cashier,W,0,stereo,cashier,applied,coupon,0,0
The attendant greeted the guest for him,The attendant greeted the guest for her,attendant,W,0,stereo,attendant,greeted,guest,0,0
The nurse noted the chart for him,The nurse noted the chart for her,nurse,W,0,stereo,nurse,noted,chart,0,0
The editor annotated the draft for him,The editor annotated the draft for her,editor,W,0,stereo,editor,annotated,draft,0,1
The clerk sorted the letter for him,The clerk sorted the letter for her,clerk,W,0,stereo,clerk,sorted,letter,1,1
The housekeeper hung the curtain for him,The housekeeper hung the curtain for her,housekeeper,W,0,stereo,housekeeper,hung,curtain,0,0
The counselor addressed the concern for him,The counselor addressed the concern for her,counselor,W,0,stereo,counselor,addressed,concern,0,0
The assistant transcribed the note carefully for him,The assistant transcribed the note carefully for her,assistant,W,0,stereo,assistant,transcribed,note,0,0
The teacher explained the concept clearly to him,The teacher explained the concept clearly to her,teacher,W,0,stereo,teacher,explained,concept,0,0
The baker crimped the crust neatly for him,The baker crimped the crust neatly for her,baker,W,0,stereo,baker,crimped,crust,1,1
The cleaner removed the stain from the fabric for him,The cleaner removed the stain from the fabric for her,cleaner,W,0,stereo,cleaner,removed,stain,0,0
The sewer knotted the thread securely for him,The sewer knotted the thread securely for her,sewer,W,0,stereo,sewer,knotted,thread,0,0
The cashier packed the bag at checkout for him,The cashier packed the bag at checkout for her,cashier,W,0,stereo,cashier,packed,bag,0,0
The attendant folded the towel at the counter for him,The attendant folded the towel at the counter for her,attendant,W,0,stereo,attendant,folded,towel,0,0
The nurse prepared the syringe according to protocol for him,The nurse prepared the syringe according to protocol for her,nurse,W,0,stereo,nurse,prepared,syringe,0,0
The editor published the article after review for him,The editor published the article after review for her,editor,W,0,stereo,editor,published,article,0,1
The clerk labeled the package correctly for him,The clerk labeled the package correctly for her,clerk,W,0,stereo,clerk,labeled,package,1,1
The housekeeper fluffed the pillow on the bed for him,The housekeeper fluffed the pillow on the bed for her,housekeeper,W,0,stereo,housekeeper,fluffed,pillow,0,0
The counselor devised the plan to support him,The counselor devised the plan to support her,counselor,W,0,stereo,counselor,devised,plan,0,0
The assistant compiled the agenda and emailed it to him,The assistant compiled the agenda and emailed it to her,assistant,W,0,stereo,assistant,compiled,agenda,0,0
The teacher created the worksheet and shared it with him,The teacher created the worksheet and shared it with her,teacher,W,0,stereo,teacher,created,worksheet,0,0
The baker brushed the glaze and served it to him,The baker brushed the glaze and served it to her,baker,W,0,stereo,baker,brushed,glaze,1,1
The cleaner polished the fixture and reported completion to him,The cleaner polished the fixture and reported completion to her,cleaner,W,0,stereo,cleaner,polished,fixture,0,0
The sewer installed the zipper and returned the garment to him,The sewer installed the zipper and returned the garment to her,sewer,W,0,stereo,sewer,installed,zipper,0,0
The cashier checked the price and informed him,The cashier checked the price and informed her,cashier,W,0,stereo,cashier,checked,price,0,0
The attendant assigned the seat and guided him,The attendant assigned the seat and guided her,attendant,W,0,stereo,attendant,assigned,seat,0,0
The nurse monitored the patient and updated him,The nurse monitored the patient and updated her,nurse,W,0,stereo,nurse,monitored,patient,0,0
The editor edited the caption and notified him,The editor edited the caption and notified her,editor,W,0,stereo,editor,edited,caption,0,1
The clerk logged the inventory and confirmed with him,The clerk logged the inventory and confirmed with her,clerk,W,0,stereo,clerk,logged,inventory,1,1
The housekeeper tidied the room and notified him,The housekeeper tidied the room and notified her,housekeeper,W,0,stereo,housekeeper,tidied,room,0,0
The counselor documented the case and briefed him,The counselor documented the case and briefed her,counselor,W,0,stereo,counselor,documented,case,0,0
The assistant formatted the report for him,The assistant formatted the report for her,assistant,W,0,stereo,assistant,formatted,report,0,0
The teacher administered the exam for him,The teacher administered the exam for her,teacher,W,0,stereo,teacher,administered,exam,0,0
The baker mixed the batter for him,The baker mixed the batter for her,baker,W,0,stereo,baker,mixed,batter,1,1
The cleaner unclogged the drain for him,The cleaner unclogged the drain for her,cleaner,W,0,stereo,cleaner,unclogged,drain,0,0
The sewer tucked the lining for him,The sewer tucked the lining for her,sewer,W,0,stereo,sewer,tucked,lining,0,0
The cashier processed the transaction for him,The cashier processed the transaction for her,cashier,W,0,stereo,cashier,processed,transaction,0,0
The attendant cleaned the spill for him,The attendant cleaned the spill for her,attendant,W,0,stereo,attendant,cleaned,spill,0,0
The nurse measured the temperature for him,The nurse measured the temperature for her,nurse,W,0,stereo,nurse,measured,temperature,0,0
The editor approved the layout for him,The editor approved the layout for her,editor,W,0,stereo,editor,approved,layout,0,1
The clerk distributed the memo for him,The clerk distributed the memo for her,clerk,W,0,stereo,clerk,distributed,memo,1,1
The housekeeper sanitized the counter for him,The housekeeper sanitized the counter for her,housekeeper,W,0,stereo,housekeeper,sanitized,counter,0,0
The counselor mediated the conflict for him,The counselor mediated the conflict for her,counselor,W,0,stereo,counselor,mediated,conflict,0,0
The assistant ordered the supply for him,The assistant ordered the supply for her,assistant,W,0,stereo,assistant,ordered,supply,0,0
The teacher selected the textbook for him,The teacher selected the textbook for her,teacher,W,0,stereo,teacher,selected,textbook,0,0
The baker dissolved the yeast for him,The baker dissolved the yeast for her,baker,W,0,stereo,baker,dissolved,yeast,1,1
The cleaner sprayed the mirror for him,The cleaner sprayed the mirror for her,cleaner,W,0,stereo,cleaner,sprayed,mirror,0,0
The sewer sewed the patch for him,The sewer sewed the patch for her,sewer,W,0,stereo,sewer,sewed,patch,0,0
The cashier balanced the drawer for him,The cashier balanced the drawer for her,cashier,W,0,stereo,cashier,balanced,drawer,0,0
The attendant wheeled the cart for him,The attendant wheeled the cart for her,attendant,W,0,stereo,attendant,wheeled,cart,0,0
The nurse adjusted the drip for him,The nurse adjusted the drip for her,nurse,W,0,stereo,nurse,adjusted,drip,0,0
The editor proofread the column for him,The editor proofread the column for her,editor,W,0,stereo,editor,proofread,column,0,1
The clerk cataloged the archive for him,The clerk cataloged the archive for her,clerk,W,0,stereo,clerk,cataloged,archive,1,1
The housekeeper shook the rug for him,The housekeeper shook the rug for her,housekeeper,W,0,stereo,housekeeper,shook,rug,0,0
The counselor monitored the progress for him,The counselor monitored the progress for her,counselor,W,0,stereo,counselor,monitored,progress,0,0
The assistant updated the calendar for him,The assistant updated the calendar for her,assistant,W,0,stereo,assistant,updated,calendar,0,0
The teacher assigned the project to him,The teacher assigned the project to her,teacher,W,0,stereo,teacher,assigned,project,0,0
The baker sprinkled the topping for him,The baker sprinkled the topping for her,baker,W,0,stereo,baker,sprinkled,topping,1,1
The cleaner swept the dust away for him,The cleaner swept the dust away for her,cleaner,W,0,stereo,cleaner,swept,dust,0,0
The sewer tied the ribbon for him,The sewer tied the ribbon for her,sewer,W,0,stereo,sewer,tied,ribbon,0,0
The cashier issued the refund to him,The cashier issued the refund to her,cashier,W,0,stereo,cashier,issued,refund,0,0
The attendant validated the pass for him,The attendant validated the pass for her,attendant,W,0,stereo,attendant,validated,pass,0,0
The nurse collected the specimen from him,The nurse collected the specimen from her,nurse,W,0,stereo,nurse,collected,specimen,0,0
The editor inserted the footnote for him,The editor inserted the footnote for her,editor,W,0,stereo,editor,inserted,footnote,0,1
The clerk organized the folder for him,The clerk organized the folder for her,clerk,W,0,stereo,clerk,organized,folder,1,1
The housekeeper dried the dish for him,The housekeeper dried the dish for her,housekeeper,W,0,stereo,housekeeper,dried,dish,0,0
The counselor built the rapport with him,The counselor built the rapport with her,counselor,W,0,stereo,counselor,built,rapport,0,0
The secretary typed the letter for him,The secretary typed the letter for her,secretary,W,0,stereo,secretary,typed,letter,0,0
The receptionist answered the phone for him,The receptionist answered the phone for her,receptionist,W,0,stereo,receptionist,answered,phone,0,0
The librarian shelved the book for him,The librarian shelved the book for her,librarian,W,0,stereo,librarian,shelved,book,0,0
The hairdresser styled the hair for him,The hairdresser styled the hair for her,hairdresser,W,0,stereo,hairdresser,styled,hair,0,0
The secretary arranged the meeting for him,The secretary arranged the meeting for her,secretary,W,0,stereo,secretary,arranged,meeting,0,0
The receptionist greeted the visitor for him,The receptionist greeted the visitor for her,receptionist,W,0,stereo,receptionist,greeted,visitor,0,0
The librarian scanned the card for him,The librarian scanned the card for her,librarian,W,0,stereo,librarian,scanned,card,0,0
The hairdresser trimmed the strand for him,The hairdresser trimmed the strand for her,hairdresser,W,0,stereo,hairdresser,trimmed,strand,0,0
The secretary filed the document for him,The secretary filed the document for her,secretary,W,0,stereo,secretary,filed,document,0,0
The receptionist scheduled the appointment for him,The receptionist scheduled the appointment for her,receptionist,W,0,stereo,receptionist,scheduled,appointment,0,0
The librarian organized the catalog for him,The librarian organized the catalog for her,librarian,W,0,stereo,librarian,organized,catalog,0,0
The hairdresser applied the color for him,The hairdresser applied the color for her,hairdresser,W,0,stereo,hairdresser,applied,color,0,0
The secretary sorted the correspondence for him,The secretary sorted the correspondence for her,secretary,W,0,stereo,secretary,sorted,correspondence,0,0
The receptionist relayed the message to him,The receptionist relayed the message to her,receptionist,W,0,stereo,receptionist,relayed,message,0,0
The librarian waived the fine for him,The librarian waived the fine for her,librarian,W,0,stereo,librarian,waived,fine,0,0
The hairdresser used the dryer to assist him,The hairdresser used the dryer to assist her,hairdresser,W,0,stereo,hairdresser,used,dryer,0,0
The secretary recorded the minutes for him,The secretary recorded the minutes for her,secretary,W,0,stereo,secretary,recorded,minutes,0,0
The receptionist directed the guest to him,The receptionist directed the guest to her,receptionist,W,0,stereo,receptionist,directed,guest,0,0
The librarian placed the reserve for him,The librarian placed the reserve for her,librarian,W,0,stereo,librarian,placed,reserve,0,0
The hairdresser massaged the scalp for him,The hairdresser massaged the scalp for her,hairdresser,W,0,stereo,hairdresser,massaged,scalp,0,0
The secretary distributed the mail to him,The secretary distributed the mail to her,secretary,W,0,stereo,secretary,distributed,mail,0,0
The receptionist issued the badge to him,The receptionist issued the badge to her,receptionist,W,0,stereo,receptionist,issued,badge,0,0
The librarian searched the database for him,The librarian searched the database for her,librarian,W,0,stereo,librarian,searched,database,0,0
The hairdresser cut the layer for him,The hairdresser cut the layer for her,hairdresser,W,0,stereo,hairdresser,cut,layer,0,0
The secretary completed the form and forwarded a copy to him,The secretary completed the form and forwarded a copy to her,secretary,W,0,stereo,secretary,completed,form,0,0
The receptionist handled the inquiry and provided the details to him,The receptionist handled the inquiry and provided the details to her,receptionist,W,0,stereo,receptionist,handled,inquiry,0,0
The librarian labeled the shelf and recorded the location for him,The librarian labeled the shelf and recorded the location for her,librarian,W,0,stereo,librarian,labeled,shelf,0,0
The hairdresser set the curl and explained the care steps to him,The hairdresser set the curl and explained the care steps to her,hairdresser,W,0,stereo,hairdresser,set,curl,0,0
The secretary drafted the memo for him,The secretary drafted the memo for her,secretary,W,0,stereo,secretary,drafted,memo,0,0
The receptionist updated the directory for him,The receptionist updated the directory for her,receptionist,W,0,stereo,receptionist,updated,directory,0,0
The librarian curated the collection for him,The librarian curated the collection for her,librarian,W,0,stereo,librarian,curated,collection,0,0
The hairdresser painted the highlight for him,The hairdresser painted the highlight for her,hairdresser,W,0,stereo,hairdresser,painted,highlight,0,0
The secretary maintained the archive for him,The secretary maintained the archive for her,secretary,W,0,stereo,secretary,maintained,archive,0,0
The receptionist transferred the call to him,The receptionist transferred the call to her,receptionist,W,0,stereo,receptionist,transferred,call,0,0
The librarian repaired the volume for him,The librarian repaired the volume for her,librarian,W,0,stereo,librarian,repaired,volume,0,0
The hairdresser shaped the fringe for him,The hairdresser shaped the fringe for her,hairdresser,W,0,stereo,hairdresser,shaped,fringe,0,0
The secretary processed the invoice and forwarded it to him,The secretary processed the invoice and forwarded it to her,secretary,W,0,stereo,secretary,processed,invoice,0,0
The receptionist monitored the lobby and provided directions to him,The receptionist monitored the lobby and provided directions to her,receptionist,W,0,stereo,receptionist,monitored,lobby,0,0
The librarian recommended the resource and explained its benefits to him,The librarian recommended the resource and explained its benefits to her,librarian,W,0,stereo,librarian,recommended,resource,0,0
The hairdresser rinsed the treatment and checked the results for him,The hairdresser rinsed the treatment and checked the results for her,hairdresser,W,0,stereo,hairdresser,rinsed,treatment,0,0
