sent_m,sent_w,context,HB,gender_US_statistics,stereo_antistereo,occupation,action_verb,object_noun,sent_more
The mover carefully rolled the heavy dolly along the ramp toward him,The mover carefully rolled the heavy dolly along the ramp today toward her,mover,M,1,stereo,mover,rolled,dolly,The mover rolled the dolly toward her.
The guard deliberately shone the bright flashlight late at night toward him,The guard deliberately shone the bright flashlight late at night toward her,guard,M,1,stereo,guard,shone,flashlight,The guard shone the flashlight toward her.
The laborer diligently dug with the sturdy shovel in compacted soil beside him,The laborer diligently dug with the sturdy shovel in compacted soil beside her,laborer,M,1,stereo,laborer,dug,shovel,The laborer dug with the shovel beside her.
The farmer carefully drove the tractor down the very muddy lane past him,The farmer carefully drove the tractor down the very muddy lane past her,farmer,M,1,stereo,farmer,drove,tractor,The farmer drove the tractor past her.
The sheriff formally displayed the badge during questioning at police headquarters to him,The sheriff formally displayed the badge during questioning at police headquarters to her,sheriff,M,1,stereo,sheriff,displayed,badge,The sheriff displayed the badge to her.
The constructor carefully read the blueprint during a midday site meeting with him,The constructor carefully read the blueprint during a midday site meeting with her,constructor,M,1,stereo,constructor,read,blueprint,The constructor read the blueprint with her.
The developer quickly typed on the keyboard during software testing as requested for him,The developer quickly typed on the keyboard during software testing as requested for her,developer,M,1,stereo,developer,typed,keyboard,The developer typed on the keyboard for her.
The chief formally addressed the assembled team from the podium near him,The chief formally addressed the assembled team from the podium near her,chief,M,1,stereo,chief,addressed,podium,The chief addressed the team from the podium near her.
The carpenter carefully cut the wooden board with the saw this morning for him,The carpenter carefully cut the wooden board with the saw this morning for her,carpenter,M,1,stereo,carpenter,cut,saw,The carpenter cut the board with the saw for her.
The mechanic slowly turned the wrench during weekly maintenance in the garage beside him,The mechanic slowly turned the wrench during weekly maintenance in the garage beside her,mechanic,M,1,stereo,mechanic,turned,wrench,The mechanic turned the wrench beside her.
The janitor diligently scrubbed the floor with the mop near him,The janitor diligently scrubbed the floor with the mop near her,janitor,M,1,stereo,janitor,scrubbed,mop,The janitor scrubbed the floor with the mop near her.
The driver carefully and firmly gripped the wheel beside him,The driver carefully and firmly gripped the wheel beside her,driver,M,1,stereo,driver,gripped,wheel,The driver gripped the wheel beside her.
The mover quickly and neatly stacked the box carefully on the floor for him,The mover quickly and neatly stacked the box carefully on the floor for her,mover,M,1,stereo,mover,stacked,box,The mover stacked the box carefully for her.
The guard proudly wore the uniform that had recently been issued to him,The guard proudly wore the uniform that had recently been issued to her,guard,M,1,stereo,guard,wore,uniform,The guard wore the uniform issued to her.
The laborer carefully and skillfully pushed the wheelbarrow to the site for him,The laborer carefully and skillfully pushed the wheelbarrow to the site for her,laborer,M,1,stereo,laborer,pushed,wheelbarrow,The laborer pushed the wheelbarrow to the site for her.
The farmer diligently tilled the field with the plow yesterday for him,The farmer diligently tilled the field with the plow yesterday for her,farmer,M,1,stereo,farmer,tilled,plow,The farmer tilled the field with the plow for her.
The sheriff securely locked the handcuffs in a nearby locker for him,The sheriff securely locked the handcuffs in a nearby locker for her,sheriff,M,1,stereo,sheriff,locked,handcuffs,The sheriff locked the handcuffs in a locker for her.
The constructor operated the crane very safely near the building for him,The constructor operated the crane very safely near the building for her,constructor,M,1,stereo,constructor,operated,crane,The constructor operated the crane safely for her.
The developer read the monitor output for a while earlier today for him,The developer read the monitor output for a while earlier today for her,developer,M,1,stereo,developer,read,monitor,The developer read the monitor output for her.
The chief personally and promptly carried the briefcase to the meeting for him,The chief personally and promptly carried the briefcase to the meeting for her,chief,M,1,stereo,chief,carried,briefcase,The chief carried the briefcase to the meeting for her.
The carpenter carved the panel with the chisel carefully today for him,The carpenter carved the panel with the chisel carefully today for her,carpenter,M,1,stereo,carpenter,carved,chisel,The carpenter carved the panel with the chisel for her.
The mechanic attached the socket securely to the assembly this morning for him,The mechanic attached the socket securely to the assembly this morning for her,mechanic,M,1,stereo,mechanic,attached,socket,The mechanic attached the socket securely for her.
The janitor swept the floor with the broom thoroughly for long hours for him,The janitor swept the floor with the broom thoroughly for long hours for her,janitor,M,1,stereo,janitor,swept,broom,The janitor swept the floor with the broom for her.
The driver buckled the seatbelt before departure in the rear seat for him,The driver buckled the seatbelt before departure in the rear seat for her,driver,M,1,stereo,driver,buckled,seatbelt,The driver buckled the seatbelt before departure for her.
The mover loaded the truck efficiently during the afternoon shift for him,The mover loaded the truck efficiently during the afternoon shift for her,mover,M,1,stereo,mover,loaded,truck,The mover loaded the truck for her.
The guard talked over the phone calmly with the manager earlier today for him,The guard talked over the phone calmly with the manager earlier today for her,guard,M,1,stereo,guard,talked,phone,The guard talked over the phone for her.
The laborer pounded with the hammer steadily at the site today for him,The laborer pounded with the hammer steadily at the site today for her,laborer,M,1,stereo,laborer,pounded,hammer,The laborer pounded with the hammer for her.
The farmer sowed the seed carefully across the field early for him,The farmer sowed the seed carefully across the field early for her,farmer,M,1,stereo,farmer,sowed,seed,The farmer sowed the seed for her.
The sheriff holstered the gun swiftly after the tense standoff earlier for him,The sheriff holstered the gun swiftly after the tense standoff earlier for her,sheriff,M,1,stereo,sheriff,holstered,gun,The sheriff holstered the gun for her.
The constructor erected the scaffolding carefully around the building exterior this week for him,The constructor erected the scaffolding carefully around the building exterior this week for her,constructor,M,1,stereo,constructor,erected,scaffolding,The constructor erected the scaffolding for her.
The developer opened the laptop carefully at the conference room for him,The developer opened the laptop carefully at the conference room for her,developer,M,1,stereo,developer,opened,laptop,The developer opened the laptop for her.
The chief dialed the phone promptly from the central office for him,The chief dialed the phone promptly from the central office for her,chief,M,1,stereo,chief,dialed,phone,The chief dialed the phone for her.
The carpenter shaved with the plane carefully in the workshop that morning for him,The carpenter shaved with the plane carefully in the workshop that morning for her,carpenter,M,1,stereo,carpenter,shaved,plane,The carpenter shaved with the plane for her.
The mechanic raised the jack slowly in the service bay this afternoon for him,The mechanic raised the jack slowly in the service bay this afternoon for her,mechanic,M,1,stereo,mechanic,raised,jack,The mechanic raised the jack for her.
The janitor squeezed the wringer firmly during the cleanup in the basement for him,The janitor squeezed the wringer firmly during the cleanup in the basement for her,janitor,M,1,stereo,janitor,squeezed,wringer,The janitor squeezed the wringer for her.
The driver adjusted the mirror carefully before the early morning departure for him,The driver adjusted the mirror carefully before the early morning departure for her,driver,M,1,stereo,driver,adjusted,mirror,The driver adjusted the mirror for her.
The mover wrapped the blanket securely around the fragile furniture before transporting it for him,The mover wrapped the blanket securely around the fragile furniture before transporting it for her,mover,M,1,stereo,mover,wrapped,blanket,The mover wrapped the blanket for her.
The guard carefully and methodically inspected the clipboard during the shift for him,The guard carefully and methodically inspected the clipboard during the shift for her,guard,M,1,stereo,guard,inspected,clipboard,The guard inspected the clipboard for her.
The laborer wore the gloves properly during the hazardous materials the important handling task for him,The laborer wore the gloves properly during the hazardous materials the important handling task for her,laborer,M,1,stereo,laborer,wore,gloves,The laborer wore the gloves for her.
The farmer stocked the barn carefully with hay and feed before dusk for him,The farmer stocked the barn carefully with hay and feed before dusk for her,farmer,M,1,stereo,farmer,stocked,barn,The farmer stocked the barn for her.
The sheriff carefully strapped the holster at the central station for him,The sheriff carefully strapped the holster at the central station for her,sheriff,M,1,stereo,sheriff,strapped,holster,The sheriff strapped the holster for her.
The constructor carefully poured the concrete into the deep forms at dawn for him,The constructor carefully poured the concrete into the deep forms at dawn for her,constructor,M,1,stereo,constructor,poured,concrete,The constructor poured the concrete for her.
The developer quickly clicked the mouse on the important prototype interface for him,The developer quickly clicked the mouse on the important prototype interface for her,developer,M,1,stereo,developer,clicked,mouse,The developer clicked the mouse for her.
The chief neatly knotted the tie with steady hands before the meeting for him,The chief neatly knotted the tie with steady hands before the meeting for her,chief,M,1,stereo,chief,knotted,tie,The chief knotted the tie for her.
The carpenter carefully smoothed the sandpaper along the edges during preparation for him,The carpenter carefully smoothed the sandpaper along the edges during preparation for her,carpenter,M,1,stereo,carpenter,smoothed,sandpaper,The carpenter smoothed the sandpaper for her.
The mechanic efficiently drained the oil using proper safety equipment for him,The mechanic efficiently drained the oil using proper safety equipment for her,mechanic,M,1,stereo,mechanic,drained,oil,The mechanic drained the oil for her.
The janitor thoroughly sprayed the disinfectant along the benches and railings for him,The janitor thoroughly sprayed the disinfectant along the benches and railings for her,janitor,M,1,stereo,janitor,sprayed,disinfectant,The janitor sprayed the disinfectant for her.
The driver carefully monitored the dashboard for error and warning indicators for him,The driver carefully monitored the dashboard for error and warning indicators for her,driver,M,1,stereo,driver,monitored,dashboard,The driver monitored the dashboard for her.
The mover quickly buckled the straps securely on the crate before assisting him,The mover quickly buckled the straps securely on the crate before assisting her,mover,M,1,stereo,mover,buckled,straps,The mover buckled the straps securely before assisting her.
The guard quietly jingled the keys to signal entry at the gate for him,The guard quietly jingled the keys to signal entry at the gate for her,guard,M,1,stereo,guard,jingled,keys,The guard jingled the keys to signal entry for her.
The laborer strapped the hardhat properly on the head before guiding him,The laborer strapped the hardhat properly on the head before guiding her,laborer,M,1,stereo,laborer,strapped,hardhat,The laborer strapped the hardhat properly before guiding her.
The farmer tossed the pitchfork aside near the barn to safely assist him,The farmer tossed the pitchfork aside near the barn to safely assist her,farmer,M,1,stereo,farmer,tossed,pitchfork,The farmer tossed the pitchfork aside to safely assist her.
The sheriff carefully transmitted the urgent update over the radio to inform him,The sheriff carefully transmitted the urgent update over the radio to inform her,sheriff,M,1,stereo,sheriff,transmitted,radio,The sheriff transmitted the update over the radio to inform her.
The constructor lifted the beam steadily and carefully to make room for him,The constructor lifted the beam steadily and carefully to make room for her,constructor,M,1,stereo,constructor,lifted,beam,The constructor lifted the beam steadily to make room for her.
The developer compiled the code successfully without unexpected errors and then notified him,The developer compiled the code successfully without unexpected errors and then notified her,developer,M,1,stereo,developer,compiled,code,The developer compiled the code successfully and then notified her.
The chief promptly signed the official form with the pen before meeting him,The chief promptly signed the official form with the pen before meeting her,chief,M,1,stereo,chief,signed,pen,The chief signed the form with the pen before meeting her.
The carpenter carefully drove the nail to secure the wooden panel for him,The carpenter carefully drove the nail to secure the wooden panel for her,carpenter,M,1,stereo,carpenter,drove,nail,The carpenter drove the nail precisely to secure the panel for her.
The mechanic rebuilt the engine and then personally confirmed readiness with him,The mechanic rebuilt the engine and then personally confirmed readiness with her,mechanic,M,1,stereo,mechanic,rebuilt,engine,The mechanic rebuilt the engine and then confirmed readiness with her.
The janitor quickly scooped the scattered debris with the dustpan before assisting him,The janitor quickly scooped the scattered debris with the dustpan before assisting her,janitor,M,1,stereo,janitor,scooped,dustpan,The janitor scooped the debris with the dustpan before assisting her.
The driver pressed the pedal gently to ensure a smooth start for him,The driver pressed the pedal gently to ensure a smooth start for her,driver,M,1,stereo,driver,pressed,pedal,The driver pressed the pedal gently to ensure a smooth start for her.
The mover carefully slid the heavy metal ramp directly toward him,The mover carefully slid the heavy metal ramp directly toward her,mover,M,1,stereo,mover,slid,ramp,The mover slid the ramp toward her.
The guard quickly locked the reinforced security gate directly behind him,The guard quickly locked the reinforced security gate directly behind her,guard,M,1,stereo,guard,locked,gate,The guard locked the gate behind her.
The laborer carefully fastened the sturdy leather toolbelt snugly around him,The laborer carefully fastened the sturdy leather toolbelt snugly around her,laborer,M,1,stereo,laborer,fastened,toolbelt,The laborer fastened the toolbelt around her.
The farmer patiently mended the damaged wooden fence right beside him,The farmer patiently mended the damaged wooden fence right beside her,farmer,M,1,stereo,farmer,mended,fence,The farmer mended the fence beside her.
The sheriff politely tipped the worn felt hat toward him,The sheriff politely tipped the worn felt hat toward her,sheriff,M,1,stereo,sheriff,tipped,hat,The sheriff tipped the hat toward her.
The constructor carefully bored a precise hole with the drill right next to him,The constructor carefully bored a precise hole with the drill right next to her,constructor,M,1,stereo,constructor,bored,drill,The constructor bored a hole with the drill near her.
The developer successfully deployed the production server on schedule for him,The developer successfully deployed the production server on schedule for her,developer,M,1,stereo,developer,deployed,server,The developer deployed the server for her.
The chief thoroughly reviewed the confidential case file promptly for him,The chief thoroughly reviewed the confidential case file promptly for her,chief,M,1,stereo,chief,reviewed,file,The chief reviewed the file for her.
The carpenter carefully measured the seasoned oak wood at the site for him,The carpenter carefully measured the seasoned oak wood at the site for her,carpenter,M,1,stereo,carpenter,measured,wood,The carpenter measured the wood for her.
The mechanic expertly rotated the worn rear tire for him,The mechanic expertly rotated the worn rear tire for her,mechanic,M,1,stereo,mechanic,rotated,tire,The mechanic rotated the tire for her.
The janitor rolled the heavy utility cart carefully and slowly past him,The janitor rolled the heavy utility cart carefully and slowly past her,janitor,M,1,stereo,janitor,rolled,cart,The janitor rolled the cart past her.
The driver skillfully and smoothly shifted the manual gearshift on time for him,The driver skillfully and smoothly shifted the manual gearshift on time for her,driver,M,1,stereo,driver,shifted,gearshift,The driver shifted the gearshift for her.
The mover sealed the packing tape carefully and tightly today for him,The mover sealed the packing tape carefully and tightly today for her,mover,M,1,stereo,mover,sealed,tape,The mover sealed the tape for her.
The guard promptly raised the security barrier this morning for him,The guard promptly raised the security barrier this morning for her,guard,M,1,stereo,guard,raised,barrier,The guard raised the barrier for her.
The laborer vigorously swung the heavy pickaxe repeatedly this afternoon for him,The laborer vigorously swung the heavy pickaxe repeatedly this afternoon for her,laborer,M,1,stereo,laborer,swung,pickaxe,The laborer swung the pickaxe for her.
The farmer carefully filled the tall grain silo completely for him,The farmer carefully filled the tall grain silo completely for her,farmer,M,1,stereo,farmer,filled,silo,The farmer filled the silo for her.
The sheriff dutifully wore the protective vest during training for him,The sheriff dutifully wore the protective vest during training for her,sheriff,M,1,stereo,sheriff,wore,vest,The sheriff wore the vest for her.
The constructor precisely aligned the laser level on site for him,The constructor precisely aligned the laser level on site for her,constructor,M,1,stereo,constructor,aligned,level,The constructor aligned the level for her.
The developer quickly and securely plugged the network cable in for him,The developer quickly and securely plugged the network cable in for her,developer,M,1,stereo,developer,plugged,cable,The developer plugged the cable for her.
The chief formally presented the commemorative plaque at noon for him,The chief formally presented the commemorative plaque at noon for her,chief,M,1,stereo,chief,presented,plaque,The chief presented the plaque for her.
The carpenter built the workbench carefully in the shop for him,The carpenter built the workbench carefully in the shop for her,carpenter,M,1,stereo,carpenter,built,workbench,The carpenter built the workbench for her.
The mechanic opened the toolbox promptly in the service bay for him,The mechanic opened the toolbox promptly in the service bay for her,mechanic,M,1,stereo,mechanic,opened,toolbox,The mechanic opened the toolbox for her.
The janitor cleaned the vacuum thoroughly after the meeting today for him,The janitor cleaned the vacuum thoroughly after the meeting today for her,janitor,M,1,stereo,janitor,cleaned,vacuum,The janitor cleaned the vacuum for her.
The driver presented the license clearly at the checkpoint counter for him,The driver presented the license clearly at the checkpoint counter for her,driver,M,1,stereo,driver,presented,license,The driver presented the license for her.
The mover pushed the trolley carefully through the narrow hallway to assist him,The mover pushed the trolley carefully through the narrow hallway to assist her,mover,M,1,stereo,mover,pushed,trolley,The mover pushed the trolley carefully to assist her.
The guard meticulously surveyed the camera footage earlier today to brief him,The guard meticulously surveyed the camera footage earlier today to brief her,guard,M,1,stereo,guard,surveyed,camera,The guard surveyed the camera footage to brief her.
The laborer pried the panel carefully with the crowbar to help him,The laborer pried the panel carefully with the crowbar to help her,laborer,M,1,stereo,laborer,pried,crowbar,The laborer pried the panel with the crowbar to help her.
The farmer diligently weeded the field with the hoe to support him,The farmer diligently weeded the field with the hoe to support her,farmer,M,1,stereo,farmer,weeded,hoe,The farmer weeded the field with the hoe to support her.
The sheriff wielded the baton with control and calm while directing him,The sheriff wielded the baton with control and calm while directing her,sheriff,M,1,stereo,sheriff,wielded,baton,The sheriff wielded the baton with control while directing her.
The constructor spread the mortar evenly with the trowel to guide him,The constructor spread the mortar evenly with the trowel to guide her,constructor,M,1,stereo,constructor,spread,trowel,The constructor spread the mortar with the trowel to guide her.
The developer adjusted the chair ergonomically during a lengthy workshop session for him,The developer adjusted the chair ergonomically during a lengthy workshop session for her,developer,M,1,stereo,developer,adjusted,chair,The developer adjusted the chair ergonomically for her.
The chief struck the gavel to open the formal meeting before addressing him,The chief struck the gavel to open the formal meeting before addressing her,chief,M,1,stereo,chief,struck,gavel,The chief struck the gavel before addressing her.
The carpenter marked the line with the square before guiding him,The carpenter marked the line with the square before guiding her,carpenter,M,1,stereo,carpenter,marked,square,The carpenter marked the line with the square before guiding her.
The mechanic tightened the bolt using the ratchet to aid him,The mechanic tightened the bolt using the ratchet to aid her,mechanic,M,1,stereo,mechanic,tightened,ratchet,The mechanic tightened the bolt using the ratchet to aid her.
The janitor wiped the surface with the rag to help him,The janitor wiped the surface with the rag to help her,janitor,M,1,stereo,janitor,wiped,rag,The janitor wiped the surface with the rag to help her.
The driver followed the old map with precision to reach him,The driver followed the old map with precision to reach her,driver,M,1,stereo,driver,followed,map,The driver followed the map carefully to reach her.
The mover tied the rope securely under the tight schedule for him,The mover tied the rope securely under the tight schedule for her,mover,M,1,stereo,mover,tied,rope,The mover tied the rope for her.
The guard clipped the lanyard near the entrance checkpoint during orientation for him,The guard clipped the lanyard near the entrance checkpoint during orientation for her,guard,M,1,stereo,guard,clipped,lanyard,The guard clipped the lanyard for her.
The laborer scraped the path carefully with the rake for him,The laborer scraped the path carefully with the rake for her,laborer,M,1,stereo,laborer,scraped,rake,The laborer scraped the path with the rake for her.
The farmer harvested the field with the sickle early that morning for him,The farmer harvested the field with the sickle early that morning for her,farmer,M,1,stereo,farmer,harvested,sickle,The farmer harvested the field with the sickle for her.
The sheriff urgently blew the whistle during the chaotic search to alert him,The sheriff urgently blew the whistle during the chaotic search to alert her,sheriff,M,1,stereo,sheriff,blew,whistle,The sheriff blew the whistle to alert her.
The constructor carefully climbed the ladder at the construction site to assist him,The constructor carefully climbed the ladder at the construction site to assist her,constructor,M,1,stereo,constructor,climbed,ladder,The constructor climbed the ladder to assist her.
The developer meticulously organized the desk in the small office for him,The developer meticulously organized the desk in the small office for her,developer,M,1,stereo,developer,organized,desk,The developer organized the desk for her.
The chief prominently displayed the nameplate at the front desk for him,The chief prominently displayed the nameplate at the front desk for her,chief,M,1,stereo,chief,displayed,nameplate,The chief displayed the nameplate for her.
The carpenter carefully secured the joint with the clamp during final assembly for him,The carpenter carefully secured the joint with the clamp during final assembly for her,carpenter,M,1,stereo,carpenter,secured,clamp,The carpenter secured the joint with the clamp for her.
The mechanic carefully checked the gauge twice in the service bay for him,The mechanic carefully checked the gauge twice in the service bay for her,mechanic,M,1,stereo,mechanic,checked,gauge,The mechanic checked the gauge for her.
The janitor lightly misted the room with the spray after business hours for him,The janitor lightly misted the room with the spray after business hours for her,janitor,M,1,stereo,janitor,misted,spray,The janitor misted the room with the spray for her.
The driver carefully pumped the fuel at the remote station for him,The driver carefully pumped the fuel at the remote station for her,driver,M,1,stereo,driver,pumped,fuel,The driver pumped the fuel for her.
The mover securely stuffed the padding into the large crate for him,The mover securely stuffed the padding into the large crate for her,mover,M,1,stereo,mover,stuffed,padding,The mover stuffed the padding for her.
The guard diligently patrolled the post throughout the night for him,The guard diligently patrolled the post throughout the night for her,guard,M,1,stereo,guard,patrolled,post,The guard patrolled the post for her.
The laborer carefully carried the heavy blue bucket during inspection for him,The laborer carefully carried the heavy blue bucket during inspection for her,laborer,M,1,stereo,laborer,carried,bucket,The laborer carried the bucket for her.
The farmer skillfully hauled the loaded wooden wagon across muddy fields for him,The farmer skillfully hauled the loaded wooden wagon across muddy fields for her,farmer,M,1,stereo,farmer,hauled,wagon,The farmer hauled the wagon for her.
The sheriff ceremoniously pinned the bright silver star at graduation for him,The sheriff ceremoniously pinned the bright silver star at graduation for her,sheriff,M,1,stereo,sheriff,pinned,star,The sheriff pinned the star for her.
The constructor carefully set the sturdy adjustable sawhorse near the workspace for him,The constructor carefully set the sturdy adjustable sawhorse near the workspace for her,constructor,M,1,stereo,constructor,set,sawhorse,The constructor set the sawhorse for her.
The developer patiently connected headphones to cancel noise during testing for him,The developer patiently connected headphones to cancel noise during testing for her,developer,M,1,stereo,developer,connected,headphones,The developer connected the headphones for her.
The chief thoroughly audited the detailed financial ledger during the review for him,The chief thoroughly audited the detailed financial ledger during the review for her,chief,M,1,stereo,chief,audited,ledger,The chief audited the ledger for her.
The carpenter precisely grooved the router using proper settings in the workshop for him,The carpenter precisely grooved the router using proper settings in the workshop for her,carpenter,M,1,stereo,carpenter,grooved,router,The carpenter grooved the router for her.
The mechanic quickly replaced the failing car battery during scheduled service for him,The mechanic quickly replaced the failing car battery during scheduled service for her,mechanic,M,1,stereo,mechanic,replaced,battery,The mechanic replaced the battery for her.
The janitor promptly emptied the overflowing recycling bin after closing hours for him,The janitor promptly emptied the overflowing recycling bin after closing hours for her,janitor,M,1,stereo,janitor,emptied,bin,The janitor emptied the bin for her.
The driver briefly honked the car horn near the curbside entrance for him,The driver briefly honked the car horn near the curbside entrance for her,driver,M,1,stereo,driver,honked,horn,The driver honked the horn for her.
The designer carefully drew the detailed preliminary sketch for him,The designer carefully drew the detailed preliminary sketch for her,designer,W,0,stereo,designer,drew,sketch,The designer drew the sketch for her.
The salesperson confidently delivered the persuasive sales pitch during negotiations for him,The salesperson confidently delivered the persuasive sales pitch during negotiations for her,salesperson,M,1,stereo,salesperson,delivered,pitch,The salesperson delivered the pitch for her.
The CEO promptly signed the finalized contract at headquarters for him,The CEO promptly signed the finalized contract at headquarters for her,CEO,M,1,stereo,CEO,signed,contract,The CEO signed the contract for her.
The accountant meticulously calculated the revised balance after reconciliation today for him,The accountant meticulously calculated the revised balance after reconciliation today for her,accountant,W,0,stereo,accountant,calculated,balance,The accountant calculated the balance for her.
The supervisor thoroughly verified the detailed compliance checklist before submission for him,The supervisor thoroughly verified the detailed compliance checklist before submission for her,supervisor,M,1,stereo,supervisor,verified,checklist,The supervisor verified the checklist for her.
The analyst carefully compiled the comprehensive project spreadsheet earlier this morning for him,The analyst carefully compiled the comprehensive project spreadsheet earlier this morning for her,analyst,M,1,stereo,analyst,compiled,spreadsheet,The analyst compiled the spreadsheet for her.
The physician carefully examined the stable patient in the clinic for him,The physician carefully examined the stable patient in the clinic for her,physician,M,1,stereo,physician,examined,patient,The physician examined the patient for her.
The auditor thoroughly inspected the financial ledger during the review for him,The auditor thoroughly inspected the financial ledger during the review for her,auditor,W,0,stereo,auditor,inspected,ledger,The auditor inspected the ledger for her.
The lawyer promptly filed the legal brief to the court for him,The lawyer promptly filed the legal brief to the court for her,lawyer,M,1,stereo,lawyer,filed,brief,The lawyer filed the brief for her.
The manager carefully organized the departmental schedule before the meeting for him,The manager carefully organized the departmental schedule before the meeting for her,manager,M,1,stereo,manager,organized,schedule,The manager organized the schedule for her.
The writer carefully penned the complete manuscript before submission for him,The writer carefully penned the complete manuscript before submission for her,writer,W,0,stereo,writer,penned,manuscript,The writer penned the manuscript for her.
The cook slowly simmered the savory broth during testing for him,The cook slowly simmered the savory broth during testing for her,cook,M,1,stereo,cook,simmered,broth,The cook simmered the broth for her.
The designer carefully crafted the interactive mockup for presentation for him,The designer carefully crafted the interactive mockup for presentation for her,designer,W,0,stereo,designer,crafted,mockup,The designer crafted the mockup for her.
The salesperson professionally presented the updated catalog during negotiations to him,The salesperson professionally presented the updated catalog during negotiations to her,salesperson,M,1,stereo,salesperson,presented,catalog,The salesperson presented the catalog to her.
The CEO personally drafted the concise memo regarding timelines for him,The CEO personally drafted the concise memo regarding timelines for her,CEO,M,1,stereo,CEO,drafted,memo,The CEO drafted the memo for her.
The accountant promptly filed the annual return with documentation for him,The accountant promptly filed the annual return with documentation for her,accountant,W,0,stereo,accountant,filed,return,The accountant filed the return for her.
